table_name,table_type,business_key,descriptive_fields,source_table
Hub_AI_passenger,hub,PassengerID,,Airindia_AI_Passenger_Details
Hub_SJ_passenger,hub,PassengerID,,SpiceJet_AI_Passenger_Details
Hub_AI_flight,hub,FlightID,,Airindia_Flight_Details
Hub_SJ_flight,hub,FlightID,,SpiceJet_Flight_Details
Hub_AI_booking,hub,BookingID,,Airindia_Booking_Details
Hub_SJ_booking,hub,BookingID,,SpiceJet_Booking_Details
Hub_AI_payment,hub,PaymentID,,Airindia_Payment
Hub_SJ_payment,hub,PaymentID,,SpiceJet_Payment 
Hub_AI_airport,hub,AirportCode,,Airindia_AirPort_Details
Hub_SJ_airport,hub,AirportCode,,SpiceJet_AirPort_Details 
Link_AI_passenger_booking_flight,link,PassengerID|BookingID|FlightID,,Airindia_Booking_Details
Link_SJ_passenger_booking_flight,link,PassengerID|BookingID|FlightID,,SpiceJet_Booking_Details
Link_AI_passenger_payment,link,PaymentID|BookingID,,Airindia_Payment
Link_SJ_passenger_payment,link,PaymentID|BookingID,,SpiceJet_Payment
Sat_AI_passenger_satellite,satellite,PassengerID,FirstName|LastName|DOB|Email|CreatedDateTime|LastupdateDateTime,Airindia_AI_Passenger_Details
Sat_SJ_passenger_satellite,satellite,PassengerID,FirstName|LastName|DOB|Email|CreatedDateTime|LastupdateDateTime,SpiceJet_AI_Passenger_Details
Sat_AI_flight_satellite,satellite,FlightID,FlightNumber|ArrivalDateTime|ScheduledDepartureDateTime|ActualDepartureDateTime,Airindia_Flight_Details 
Sat_SJ_flight_satellite,satellite,FlightID,FlightNumber|ArrivalDateTime|ScheduledDepartureDateTime|ActualDepartureDateTime,SpiceJet_Flight_Details 
Sat_AI_payment_satellite,satellite,PaymentID,Amount,Airindia_Payment 
Sat_SJ_payment_satellite,satellite,PaymentID,Amount,SpiceJet_Payment 
Sat_AI_airport_satellite,satellite,AirportCode,AirportName,Airindia_AirPort_Details 
Sat_SJ_airport_satellite,satellite,AirportCode,AirportName,SpiceJet_AirPort_Details 
